Account__c,Auth_Code__c,VM_Use_Count__c,distributor_id__c,End_Date__c,Hypervisor__c,isdevice__c,last_checkin_date__c,License_DB_Id__c,LicenseDB_Device_Id__c,licensedb_license_id__c,Marketplace__c,Parent_Authorization_Code__c,Product_Code__c,Product_Family__c,Quantity__c,reseller_id__c,Serial_Number__c,Software_Version__c,Software_version_group__c,Start_Date__c,Status__c,tenant_id__c,Parent_Device_Asset__r.License_DB_Id__c
0017000000YNqaRAAT,83428281,,a0N70000007gTWIEA2,2019-09-19,,YES,,D384085130497723,D3840851,,0,83428281,PAN-PA-5260-AC,PA-5260,1,0017000000dJ6tO,012501002810,,,2018-09-19,INACTIVE,,
0017000000pcpM8AAI,54104374,,a0N70000007gTWhEAM,2022-03-12,,YES,,D4545693102876822,D4545693,,0,54104374,PAN-PA-220,PA-220,1,0017000000YwxUS,012801095742,,,2019-03-12,ACTIVE,,
0017000000dr5ItAAI,34595248,1,a0N7000000NY2VUEA1,2020-09-30,,YES,,D34290351251014084,D3429035,,0,34595248,PAN-PA-220,PA-220,1,0017000000fPdDV,012801050412,,,2018-06-06,ACTIVE,,
0017000000gFwWZAA0,27220483,,a0N7000000NY2VUEA1,2020-08-25,,YES,,D418971314266615,D4189713,,0,27220483,PAN-PA-7000-20GQ-NPC,PA-7000,1,0017000000jD5e9,011701001523,,,,ACTIVE,,
0017000000dvPvOAAU,39078207,,a0N70000007gTWwEAM,2020-12-27,,YES,2019-11-24,D304417222563696,D3044172,,0,39078207,PAN-PA-820,PA-820,1,0017000000UUtBC,012001009428,8.0.7,8.0,2018-01-10,ACTIVE,,
0017000001Syl7AAAR,,,,2036-01-27,KVM,YES,,D55530291250736413,D5553029,,0,34088276,PAN-VM-300-SP-BKLN-BND2-MU,VM-300,1,,007254000085799,,,2019-10-14,ACTIVE,,
0017000001NT4PYAA1,62294156,,a0N70000017Sd6WEAS,2020-10-07,,YES,2019-12-02,D53102511248067157,D5310251,,0,62294156,PAN-PA-850,PA-850,1,0017000000f3j5y,011901023837,8.1.10,8.1,2019-10-07,ACTIVE,,
0017000000gFcK8AAK,41478398,,a0N70000007gTWIEA2,2021-02-13,,YES,,D5077944112414353,D5077944,,0,41478398,PAN-PA-220,PA-220,1,00170000012N6uX,012801120916,,,2019-08-13,ACTIVE,,
0017000000jsMpeAAE,60881666,1,a0N70000007gTWrEAM,2018-11-06,,YES,2019-11-19,D11409421443628,D114094,,0,60881666,PAN-PA-3020,PA-3020,1,0017000000LwhUD,001801007768,8.0.10,8.0,2014-01-20,INACTIVE,,
0017000000nbUFXAA2,20073903,,a0N7000000Rqa0KEAR,2015-10-15,,YES,,D4898812068955,D48988,,0,20073903,PAN-PA-200-EU,PA-200,1,0017000000nzoKl,001606005698,,,2013-09-25,INACTIVE,,
0017000001K3PRbAAN,94910027,,a0N70000007gTWwEAM,2023-01-16,,YES,,D421016722597575,D4210167,,0,94910027,PAN-PA-7050-SMC,PA-7050,1,0017000001VsICG,002101002031,,,,ACTIVE,,
0017000000m9wc5AAA,12111660,,a0N7000000adYU9EAM,2021-10-09,,YES,2019-12-02,D394584031468941,D3945840,,0,12111660,PAN-PA-220,PA-220,1,00170000010kpCe,012801073489,8.1.10,8.1,2018-10-09,ACTIVE,,
0017000000cJrd6AAC,77176979,,a0N7000000WDd2LEAT,2016-06-30,,YES,2017-07-26,D10759912609784,D107599,,0,77176979,PAN-PA-500,PA-500,1,0017000000bEOl8,0006C115075,6.1.5,6.1,2010-12-31,INACTIVE,,
0017000000rXeciAAC,S7941334,,a0N70000007gTWIEA2,2023-07-28,,YES,2018-11-15,D216962829540372,D2169628,,0,58884627,PAN-PA-3020,PA-3020,1,0017000000LLbqG,001801043109,8.0.12,8.0,2017-01-18,ACTIVE,,
0017000000cIdvMAAS,X1606852,,,2016-03-31,,YES,2014-12-06,D1621413096408,D16214,,0,X1606852,PAN-PA-2020,PA-2020,1,,0004C101714,6.0.6,6.0,2011-03-08,INACTIVE,,
00170000011NrZFAA0,66926334,1,a0N7000000RtJYCEA3,2020-02-23,,YES,2019-12-02,D2584276102848838,D2584276,,0,66926334,PAN-PA-200-EU,PA-200,1,0017000000ZLS4b,001606013387,8.1.11,8.1,2016-02-23,ACTIVE,,
0010g00001dp4jTAAQ,,,a0N7000000Gua9WEAR,2022-03-12,NSX,YES,2019-11-19,D4765663108005986,D4765663,,0,84934849,PAN-VM-100-PERP-BND2-PREM-3YR,VM-100,1,0010g00001gLSmh,007052000061266,8.0.7,8.0,2019-04-22,ACTIVE,,
001700000136nMOAAY,10156923,,a0N70000007gTWIEA2,2016-09-17,,YES,2019-02-05,D184643812683074,D1846438,,0,10156923,PAN-PA-500-2GB,PA-500,1,0017000000kYP0B,009401019445,7.0.2,7.0,2015-09-17,INACTIVE,,
0017000000ndAQpAAM,18090393,1,a0N7000000UHJWOEA5,2020-09-23,,YES,2019-12-02,D23013481249153187,D2301348,,0,18090393,PAN-PA-7050-ASSY-AC,PA-7050,1,0017000000jEJ4T,010108001751,8.1.9-h4,8.1,2017-04-20,ACTIVE,,
0017000000STwErAAL,29881256,1,a0N7000000WDd2LEAT,2020-12-04,,YES,2019-12-02,D184495121268569,D1844951,,0,29881256,PAN-PA-3060,PA-3060,1,0017000000LIwLd,010401001108,8.1.6,8.1,2015-09-11,ACTIVE,,
001700000138jhSAAQ,35591578,1,a0N7000000WDd2LEAT,2020-08-31,,YES,2019-12-02,D23208271247758710,D2320827,,0,35591578,PAN-PA-220,PA-220,1,0017000000WRPmg,012801005000,8.1.10,8.1,2017-04-30,ACTIVE,,
0017000000jtfvxAAA,S4555572,,a0N70000007gTWIEA2,2021-08-01,,YES,2019-12-02,D4831234111876957,D4831234,,0,72439038,PAN-PA-3250,PA-3250,1,0017000001OWCal,016301003681,8.1.11,8.1,2019-07-05,ACTIVE,,
00170000013qO69AAE,52874032,1,a0N70000007gTWIEA2,2020-04-24,,YES,2019-12-02,D3278582104882848,D3278582,,0,52874032,PAN-PA-220,PA-220,1,0017000001SxHCE,012801046555,9.0.4,9.0,2018-04-19,ACTIVE,,
0017000000YQHx8AAH,82211888,1,a0N7000000NY2VUEA1,2020-05-31,,YES,2019-12-02,D113195109978089,D113195,,0,82211888,PAN-PA-5050-SSD2-D,PA-5050,1,0017000000ndAo3,007801000650,8.1.6,8.1,2014-08-19,ACTIVE,,
0017000000lhkhAAAQ,91958284,,a0N70000007gTWZEA2,2016-11-12,,YES,2016-09-06,D5479112796074,D54791,,0,91958284,PAN-PA-500,PA-500,1,0017000001RKgAK,0006C112034,6.0.3,6.0,2012-10-04,INACTIVE,,
00170000012Omz6AAC,S1071497,,a0N70000007gTWrEAM,2020-08-31,,YES,2019-11-19,D1839036111084831,D1839036,,0,83666759,PAN-PA-3020,PA-3020,1,0017000000YfuOr,001801023091,6.1.10,6.1,2015-08-24,ACTIVE,,
0017000001JMmXiAAL,67606454,1,a0N7000000GsKcGEAV,2019-12-31,,YES,2019-12-02,D1866134100731339,D1866134,,0,67606454,PAN-PA-3050,PA-3050,1,0017000000haAFo,001701009192,8.1.8-h5,8.1,2015-11-18,ACTIVE,,
0017000001QVdyhAAD,11469273,,a0N70000007gTWNEA2,2022-01-07,,YES,2019-12-02,D4290447100065543,D4290447,,0,11469273,PAN-PA-220,PA-220,1,0017000001OXAyK,012801085112,8.1.9,8.1,2019-01-07,ACTIVE,,
00170000015C7PAAA0,53824030,,a0N7000000KgPyKEAV,2020-05-22,,YES,2019-12-02,D229871416953507,D2298714,,0,53824030,PAN-PA-500-2GB,PA-500,1,0017000000vFAyF,009401035961,8.1.7,8.1,2017-05-22,ACTIVE,,
0017000000sbcclAAA,17285168,,a0N7000000UHJWOEA5,2022-06-30,,YES,2019-12-02,D4886826109850148,D4886826,,0,17285168,PAN-PA-220,PA-220,1,0017000000jEJ4T,012801109888,9.0.2-h4,9.0,2019-09-13,ACTIVE,,
0017000000WQviuAAD,,,a0N7000000WCIpZEAX,2022-01-16,AWS,YES,2019-12-02,D55235391250188328,D5523539,,0,53202756,PAN-VM-300-PERP-BND2-PREM-3YR,VM-300,1,0017000000naue8,007255000084652,9.0.4,9.0,2019-10-07,ACTIVE,,
0017000000qySvSAAU,,,a0N70000007gTWrEAM,2022-01-31,ESXi,YES,2019-12-02,D2163981104721901,D2163981,,0,36414720,PAN-VM-ELA-BND2-PREM-3YR,VM-100,1,0017000000LwhUD,007000015154,8.1.7,8.1,2019-03-25,ACTIVE,,
0017000000dy94zAAA,,,a0N70000007gTWIEA2,2020-12-31,NSX,YES,2019-11-19,D325444725061804,D3254447,,0,23206084,PAN-VM-1000-HV-ELA-3YR,VM-1000-HV,1,0017000000dMqGq,007900000022995,7.1.14,7.1,2018-03-14,ACTIVE,,
0017000000dIyNEAA0,64988862,,a0N70000007gTWMEA2,2021-08-21,,YES,2019-03-28,D351285827570785,D3512858,,0,64988862,PAN-PA-220,PA-220,1,0017000000bGnAl,012801055963,8.1.6,8.1,2018-08-21,ACTIVE,,
0017000000lAknyAAC,82029904,1,a0N70000007gTWIEA2,2022-08-20,,YES,2019-12-02,D2538865101301048,D2538865,,0,82029904,PAN-PA-200,PA-200,1,0017000000LLbqG,001606083943,7.1.17,7.1,2014-04-25,ACTIVE,,
00170000011MZiXAAW,20650092,1,a0N7000000RpckNEAR,2019-05-29,,YES,2019-05-17,D13940225360580,D139402,,0,20650092,PAN-PA-3050,PA-3050,1,0017000001BT5GA,001701003717,7.1.21,7.1,2014-05-29,INACTIVE,,
0017000001V3xnfAAB,19935490,,a0N70000017Sd6WEAS,2022-04-03,,YES,2019-11-25,D4549956102914583,D4549956,,0,19935490,PAN-WF-500,WF-500,1,0010g00001dnnOw,009707001100,8.1.7,8.1,2019-04-03,ACTIVE,,
0017000000tBXzoAAG,,,a0N7000000NY2VUEA1,2021-07-31,ESXi,YES,,D206893214869134,D2068932,,0,75703922,PAN-VM-300-PERP-USG-BND-5YR,VM-300,1,0017000000ndAo3,007200015537,,,2016-09-26,ACTIVE,,
00170000011vjwVAAQ,74611189,1,a0N7000000WDd2LEAT,2020-11-29,,YES,2019-12-02,D44977591254413234,D4497759,,0,74611189,PAN-PA-5050-SSD2-D,PA-5050,1,0017000000KW3Q4,002201000464,8.0.19,8.0,2015-09-14,ACTIVE,,
0017000000jFZfZAAW,S7677542,,a0N7000001d76b0EAA,2022-09-29,,YES,2019-12-02,D17907921250884022,D1790792,,0,13415833,PAN-PA-3020,PA-3020,1,0017000000LK4yz,001801016849,8.0.16,8.0,2015-01-30,ACTIVE,,
0017000000cM0YQAA0,S7536608,,,2021-12-31,,YES,2017-01-28,D3392926092190,D33929,,0,49896698,PAN-PA-200,PA-200,1,0017000000LLbqG,001606001591,7.0.7,7.0,2012-02-08,ACTIVE,,
00170000010jXPZAA2,,,a0N70000007gTWwEAM,2020-12-26,ESXi,YES,2019-08-14,D52376641147328676,D5237664,,0,93337934,PAN-VM-50-PERP-BASC-BKLN-3YR,VM-50,1,0017000000cLyZY,015351000031717,8.0.5,8.0,2019-08-14,ACTIVE,,
0010g00001bxLtyAAE,28035452,,a0N70000007gTWIEA2,2022-02-15,,YES,2019-12-02,D4399671101093658,D4399671,,0,28035452,PAN-PA-3220,PA-3220,1,0017000000kYP0B,016201007990,8.1.6,8.1,2019-02-19,ACTIVE,,
0017000000lDe7vAAC,48011245,1,a0N70000007gTWfEAM,2019-12-31,,YES,2019-12-02,D2246073100695063,D2246073,,0,48011245,PAN-PA-200,PA-200,1,0017000000bG4cL,001606074744,8.0.7,8.0,2017-04-25,ACTIVE,,
0017000001T00B3AAJ,89651541,,a0N7000000KgPyKEAV,2018-05-08,,YES,2017-05-11,D228478516842834,D2284785,,0,89651541,PAN-PA-220,PA-220,1,0017000001Db9pF,012801002010,8.0.0,8.0,2017-05-08,INACTIVE,,
0017000000nyW4NAAU,22698507,,a0N700000128eCnEAI,2020-04-06,,YES,2019-11-28,D228762316867551,D2287623,,0,22698507,PAN-PA-220,PA-220,1,0017000000dqgm4,012801001923,8.1.8-h5,8.1,2017-04-06,ACTIVE,,
0017000000bGn56AAC,81190015,1,a0N70000017SUW0EAO,2020-01-24,,YES,2019-11-19,D238650234218924,D2386502,,0,81190015,PAN-PA-820,PA-820,1,0017000000p6yEo,012001002361,8.0.6,8.0,2018-01-29,ACTIVE,,
0017000000jCYKLAA4,50884728,1,a0N70000007gTWfEAM,2021-07-14,,YES,2019-12-02,D183389028771295,D1833890,,0,50884728,PAN-PA-3020,PA-3020,1,0017000000VShqr,001801022328,9.0.5,9.0,2015-07-14,ACTIVE,,
0017000001ISdbRAAT,85636155,,a0N0g00002NV21cEAD,2020-08-07,,YES,2019-12-02,D5070510112311720,D5070510,,0,85636155,PAN-PA-220,PA-220,1,0010g00001fs7bL,012801118533,8.1.8-h5,8.1,2019-07-18,ACTIVE,,
0017000001Gg9fwAAB,86608012,,a0N70000007gTWfEAM,2020-07-28,,YES,2018-10-02,D252364313530718,D2523643,,0,86608012,PAN-PA-200E-EU,PA-200,1,0017000000ZK2FC,001606085638,8.0.0,8.0,2016-07-28,ACTIVE,,
0017000000yojU3AAI,,,a0N70000017Sd6WEAS,2021-08-27,NSX,YES,2019-12-02,D5072835112340607,D5072835,,0,44994763,PAN-VM-300-PERP-BND2-PREM-3YR,VM-300,1,0017000000fSoLF,007252000075034,9.0.4,9.0,2019-07-14,ACTIVE,,
0017000001ITF8TAAX,,,a0N7000000xM5T8EAK,,,YES,,D4819414,D4819414,,0,,,PA-220,,00170000012NycR,012801103091,,,,NOT REGISTERED,,
0017000000drNVKAA2,,,a0N7000001d7DguEAE,2021-04-26,AWS,YES,2018-10-17,D404290632416444,D4042906,,0,21940369,PAN-VM-300-PERP-BND1-BKLN-3YR,VM-300,1,0017000001NVQlF,007255000054584,8.0.6,8.0,2018-10-17,ACTIVE,,
0017000001MCS9pAAH,94072782,,a0N70000007gTWhEAM,2022-07-16,,YES,2019-12-02,D4786591108275269,D4786591,,0,94072782,PAN-PA-220,PA-220,1,0017000000ZLpZI,012801106532,8.1.10,8.1,2019-07-16,ACTIVE,,
0017000000qwsVNAAY,10044490,1,a0N7000000WDd2LEAT,2020-03-19,,YES,2019-11-28,D1310951248025148,D131095,,0,10044490,PAN-PA-3020,PA-3020,1,0017000000TIQBf,001801008790,8.0.12,8.0,2014-03-19,ACTIVE,,
00170000015EOveAAG,,,a0N7000000YZCfYEAX,2022-07-31,AWS,YES,,D55278951250242265,D5527895,,0,84910295,PAN-VM-300-PERP-BND2-BKLN-3YR,VM-300,1,0017000000bEduN,007255000084744,,,2019-10-07,ACTIVE,,
0017000000qxBsIAAU,,,a0N70000007gTWIEA2,2023-01-05,GCE,YES,2018-10-26,D403662032353461,D4036620,,0,66190575,PAN-VM-300-PERP-BND2-PREM-5YR,VM-300,1,0017000000dJ6tO,007200000054491,8.1.0,8.1,2018-10-16,ACTIVE,,
0017000000pfhDvAAI,19126265,1,a0N7000000Rs2dREAR,2019-10-08,,YES,2019-06-26,D5343330509297,D53433,,0,19126265,PAN-PA-500,PA-500,1,0017000000bGZry,0006C111943,7.1.17,7.1,2012-10-08,INACTIVE,,
0017000000jCsX4AAK,42715531,,a0N70000007gTWIEA2,2020-07-05,,YES,2019-12-02,D4905678110109465,D4905678,,0,42715531,PAN-PA-220,PA-220,1,0017000000cLokk,012801111607,8.1.10,8.1,2019-07-22,ACTIVE,,
0017000001XQ7ylAAD,16993745,,a0N7000000s7V8CEAU,2023-06-07,,YES,2019-12-02,D4811554108606955,D4811554,,0,16993745,PAN-PA-3220,PA-3220,1,0017000001VsxOI,016201011025,8.1.8-h5,8.1,2019-06-07,ACTIVE,,
0017000000s6O90AAE,47360466,1,a0N70000017SUW0EAO,2019-12-31,,YES,2019-12-02,D92740100561806,D92740,,0,47360466,PAN-PA-5050-D,PA-5050,1,0017000000bDiWM,008401000339,7.1.17,7.1,2013-08-26,ACTIVE,,
0017000001RJvmNAAT,,,a0N70000007gn8rEAA,2023-04-25,ESXi,YES,2019-12-02,D4773994108130423,D4773994,,0,54227772,PAN-VM-500-PERP-BND2-PREM-3YR,VM-500,1,0017000000qLe5R,015451000004744,8.1.9,8.1,2019-04-25,ACTIVE,,
0017000000nyWAuAAM,26488903,,a0N70000007gTWvEAM,2020-03-28,,YES,,D188023513030820,D1880235,,0,26488903,PAN-PA-3020,PA-3020,1,0017000000YuYdz,001801029177,,,2016-03-28,ACTIVE,,
0017000000jFJ17AAG,S1869955,,a0N70000007gTWIEA2,2022-06-30,,YES,2019-08-14,D30292381253110718,D3029238,,0,81500415,PAN-PA-3060,PA-3060,1,0017000000kYP0B,010401006779,7.1.15,7.1,2018-05-09,ACTIVE,,
0017000000dqtymAAA,94093736,1,a0N7000000NY2VUEA1,2020-02-15,,YES,2019-12-02,D1783125102438015,D1783125,,0,94093736,PAN-PA-5050,PA-5050,1,0017000000vGeLw,0009C103685,8.1.10,8.1,2014-11-19,ACTIVE,,
0017000001Syl8mAAB,83053431,1,a0N70000007gTWrEAM,2022-12-31,,YES,2019-12-02,D2167930101345118,D2167930,,0,83053431,PAN-PA-500-2GB,PA-500,1,0017000000LwhUD,009401033839,8.1.10,8.1,2017-01-09,ACTIVE,,
0017000000ZLmfpAAD,97283424,1,a0N70000007gTWIEA2,2022-07-27,,YES,2019-12-02,D3629477100535190,D3629477,,0,97283424,PAN-PA-220,PA-220,1,0017000000LE6jJ,012801061005,9.0.4,9.0,2018-07-27,ACTIVE,,
0010g00001aEIxiAAG,,,a0N7000000adYU9EAM,2022-07-23,ESXi,YES,2019-12-02,D52041151146852210,D5204115,,0,39706709,PAN-VM-100-PERP-BND2-PREM-3YR,VM-100,1,0017000000pcs1u,007051000069473,8.1.9-h4,8.1,2019-08-04,ACTIVE,,
0017000001JOl8wAAD,71879672,1,a0N7000000WDd2LEAT,2020-07-05,,YES,2019-12-02,D1926084109256490,D1926084,,0,71879672,PAN-PA-3020,PA-3020,1,0017000000wMwrG,001801027877,8.1.8,8.1,2016-04-07,ACTIVE,,
0017000000sclUAAAY,22207925,1,a0N7000000NY2VUEA1,2020-04-29,,YES,2019-11-24,D2333430104940502,D2333430,,0,22207925,PAN-PA-820,PA-820,1,0017000000yoauH,012001001219,8.1.9-h4,8.1,2017-05-15,ACTIVE,,
0017000000sctlrAAA,,,a0N7000000Rqa3sEAB,2020-07-07,,YES,2019-12-02,D2480356111663435,D2480356,,0,54789633,PAN-PA-220-LAB,PA-220,1,0017000000cLm8b,012801008718,9.0.5,9.0,2017-07-07,ACTIVE,,
0010g00001c0D4eAAE,,,a0N70000007gTWhEAM,2021-10-08,Azure,YES,2019-12-02,D404323532421042,D4043235,,0,74929261,PAN-VM-100-PERP-BND2-BKLN-3YR,VM-100,1,0017000000USJwz,007057000049692,9.0.3-h3,9.0,2018-10-18,ACTIVE,,
0017000000hbzkaAAA,93641734,1,a0N70000007gTWaEAM,2021-12-31,,YES,2019-11-24,D2702998102965901,D2702998,,0,93641734,PAN-PA-220,PA-220,1,0017000000peGTO,012801018987,8.1.1,8.1,2017-09-13,ACTIVE,,
0017000001RK75EAAT,63991640,,a0N700000128dfUEAQ,2020-09-06,,YES,2019-12-02,D264625319350118,D2646253,,0,63991640,PAN-PA-500-2GB,PA-500,1,0017000000tCEGS,009401037667,8.1.9,8.1,2017-09-06,ACTIVE,,
0017000000nyW3iAAE,S1055641,,a0N70000007gTWIEA2,2020-07-31,,YES,2019-12-02,D214161918933211,D2141619,,0,41422043,PAN-PA-500-2GB,PA-500,1,0017000000QOeuE,009401032901,8.1.9-h4,8.1,2017-01-12,ACTIVE,,
0017000001VsPSmAAN,16623972,1,a0N7000000WDd2LEAT,2021-06-19,,YES,2019-12-02,D243540128649423,D2435401,,0,16623972,PAN-PA-220,PA-220,1,00170000010Dt9t,012801008121,9.0.2,9.0,2017-06-19,ACTIVE,,
0017000001CJLU2AAP,28107792,,a0N70000007gTWrEAM,2017-11-14,,YES,2017-06-02,D213877215519930,D2138772,,0,28107792,PAN-PA-500-2GB,PA-500,1,0017000000p71Vo,009401032570,7.1.6,7.1,2016-11-14,INACTIVE,,
0017000001VuaWOAAZ,40779909,,a0N7000000WDd2LEAT,2020-05-31,,YES,2019-12-01,D239293417649632,D2392934,,0,40779909,PAN-PA-220,PA-220,1,0017000000lBUaM,012801096289,8.0.0,8.0,2017-05-31,ACTIVE,,
0017000000RJF5mAAH,88271898,,a0N70000007gTWIEA2,2021-08-27,,YES,2019-12-02,D487369230089114,D4873692,,0,88271898,PAN-PA-3220,PA-3220,1,0017000000kYP0B,016201003412,8.1.7,8.1,2018-08-27,ACTIVE,,
0017000001RLny0AAD,58195702,,a0N7000000NY2VUEA1,2020-10-27,,YES,,D279698420567346,D2796984,,0,58195702,PAN-PA-850,PA-850,1,0017000000tdRP5,011901004015,,,2017-10-30,ACTIVE,,
0017000000dvKDYAA2,86381962,,a0N70000007gTWrEAM,2021-07-27,,YES,2019-12-02,D363104928577321,D3631049,,0,86381962,PAN-PA-820,PA-820,1,0017000000YfuOr,012001016832,8.1.7,8.1,2018-07-27,ACTIVE,,
0017000000oHquvAAC,,,a0N70000007gTWXEA2,2018-12-31,,YES,2015-09-23,D4730523043778,D47305,,0,77254641,PAN-PA-2020-LAB,PA-2020,1,0017000000oHquv,0004C103972,6.0.9,6.0,2012-09-17,INACTIVE,,
0017000000ujjVmAAI,49304901,1,a0N70000007gTWIEA2,2020-07-12,,YES,2019-12-02,D86387110524650,D86387,,0,49304901,PAN-PA-3020,PA-3020,1,0017000000hbBAr,001801003506,8.1.11,8.1,2013-07-05,ACTIVE,,
0017000000cLyRoAAK,88403917,,a0N70000007gTWfEAM,2022-07-29,,YES,,D4800040108557272,D4800040,,0,88403917,PAN-PA-7000-LFC-A-SYS-UPG,PA-7000,1,0017000000fRHGA,018301000634,,,,ACTIVE,,
0017000000dMuOBAA0,24964222,1,a0N70000007gTWIEA2,2020-06-04,,YES,2019-12-02,D2813085109866798,D2813085,,0,24964222,PAN-PA-220,PA-220,1,0017000000LwhUD,012801021658,8.1.4,8.1,2017-11-02,ACTIVE,,
0017000000cLYXZAA4,37365841,1,a0N70000007gTWIEA2,2021-03-11,,YES,2018-12-20,D42811861254015662,D4281186,,0,37365841,PAN-PA-220,PA-220,1,0017000000dJ6tO,012801084272,8.1.5,8.1,2018-12-19,ACTIVE,,
0017000000ndAYUAA2,,,a0N70000007gTWIEA2,2020-06-05,,YES,2019-12-02,D246397031214160,D2463970,,0,23177784,PAN-PA-220-LAB,PA-220,1,0017000000y1vUB,012801008786,8.1.9,8.1,2017-06-28,ACTIVE,,
0017000000tBXzoAAG,,,a0N7000000NY2VUEA1,2021-07-31,ESXi,YES,,D206842214866602,D2068422,,0,75703922,PAN-VM-300-PERP-USG-BND-5YR,VM-300,1,0017000000ndAo3,007200015371,,,2016-09-26,ACTIVE,,
